"file","content_type","id","field_path","locale","status","source_en"
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[0].caption","vi","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025 "
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[0].caption","ko","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025 "
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[1].caption","vi","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025 "
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[1].caption","ko","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025 "
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[2].caption","vi","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025 "
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[2].caption","ko","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025 "
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[3].caption","vi","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025  detail 1"
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[3].caption","ko","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025  detail 1"
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[4].caption","vi","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025  detail 2"
"events","event","kat-2025-1st-korea-vietnam-k-beauty-advanced-skill-training-2025","images[4].caption","ko","needs_translation","KAT 2025 - 1st Korea-Vietnam K-Beauty Advanced SKILL TRAINING 2025  detail 2"
"events","event","kbit-expert-meeting-1-seminar-specialized-demo-2025","images[0].caption","vi","needs_translation","KBIT EXPERT MEETING #1 - Seminar & Specialized Demo 2025"
"events","event","kbit-expert-meeting-1-seminar-specialized-demo-2025","images[0].caption","ko","needs_translation","KBIT EXPERT MEETING #1 - Seminar & Specialized Demo 2025"
"events","event","kbit-expert-meeting-1-seminar-specialized-demo-2025","images[1].caption","vi","needs_translation","KBIT EXPERT MEETING #1 - Seminar & Specialized Demo 2025"
"events","event","kbit-expert-meeting-1-seminar-specialized-demo-2025","images[1].caption","ko","needs_translation","KBIT EXPERT MEETING #1 - Seminar & Specialized Demo 2025"
"events","event","kbit-expert-meeting-1-seminar-specialized-demo-2025","images[2].caption","vi","needs_translation","KBIT EXPERT MEETING #1 - Seminar & Specialized Demo 2025"
